房间	Room
蜚皮休闲衣衫	Fei Hide Casual Shirt
蜚皮薄下裳	Fei Hide Thin Pants
巧夺天工的神兵，融合制作者的心血与灵感而成。	
斩电	Goldwood Blade
石髓	Stone Essence
戊土圭	Grim  Tablet
紫布	Purple Fabric
长生问心罗	Longevity Clear Conscience Textile
佩戴者可以提高神国信仰获取加成。	Increases the wearer's Belief Gains Bonus.
神感符	Talisman of Divine Perception
佩戴者可以提高护体技能等级。	Increases the wearer's Protection skill level.
天甲符	Heavenarmor Talisman
佩戴者可以降低神性。	Decreases the wearer's Divinity.
神隐符	Talisman of Divine Concealment
大理石砖	Marble Block
坤元先天阙	Earthbound Heavenly Merger  Dualjade
牛皮修行下裳	Cultivator Pants
万里诛神御	Marching God Punishing Clothes
鱼肉	Fish
玄光幕	Dark Light  Lump
灵木料	Spiritwood
长生天心柱	Longevity Heavenly Heart  Column
奇怪的蘑菇	Strange Mushroom
苍莽魂菇	Colossal Soul  Mushroom
小麦	Wheat
玉衡斩仙索	Alioth Immortal Slaying Cord
符纸	Talisman Paper
碧光妖咒	Opalescent Devil  Forbidden
木料	Timber
长生灵骨木	Longevity Spirit Bone Wood
棉花	Cotton
青龙万象绳	Azuragon All Phenomena  Rope
狼皮	Wolf Hide
己土先天革	Dismal Heavenly Merger Leather
粪便	Feces
行疆五色屎	Trekking Prismatic  Dung
棕石	Brownstone
己土圣印	Dismal Sagely  Tower
木角料	Wood Offcut
五云碎	Five Clouds Nail
苍莽环空纱	Colossal Chakram  Gauze
天柱石铃铛	Bell
戊己大日铃	Central Big Day Bell
牛皮	Bull Hide
万里冲虚障	Marching Facing the Void Leather
铁矿石	Iron Ore
断岳诛神印	Demolition God Punishing  Seal
灵晶角料	Spirit Crystal Offcut
紫薇万魂钉	Crape Myrtle All Souls  Scrap
灵晶砖	Spirit Crystal Block
莲花七杀镇	Lotus Flower Seven Slaughters  Tower
野猪皮休闲衣衫	Casual Shirt
腾岳斩魔甲	Hill Rise Demon Slaying  Shirt
原木	Wood
苍莽荡魔桩	Colossal Evil Exorcising  Stake
坤元屠魔索	Earthbound Demon Slaughtering Cord
角色出生点	Born Point
逻辑点	Logic Point
大理石置物台	Marble Display
大理石墙	Marble Wall
大理石巨灵雕像	Marble Stone Giant
灵石灯柱	Spirit Stone Lamp Post
灵石置物台	Spirit Stone Display
灵石门	Spirit Stone Door
朱	Zhu
乐语	Yueyu
天苍 231年第72日,通过从闻药味获取的理智，对有点愤怒的感知，对墙的认知，产生了一点灵智碎片。
天苍 232年第85日,通过从发呆获取的理智，对有点恐惧的感知，对雾的认知，产生了一点灵智碎片。
天苍 236年第107日,通过从听弟子练功获取的理智，对非常恐惧的感知，对自己的认知，产生了一点灵智碎片。
天苍 238年第111日,通过从做梦获取的理智，对平静的感知，对裤子的认知，产生了一点灵智碎片。
天苍 244年第98日,通过从面朝北方获取的理智，对非常高兴的感知，对人的认知，产生了一点灵智碎片。	
永世之奴役	Everlasting Slave
赤霄宫覆灭	
震雷流光神雷	
坤元流光诀	
玄武陨星真言	
万源归真镇神真言	
丁火飞星	
麒麟化影诀	
呼噜呼噜……这，这些宝藏……呼噜……都，都是…我，我我的！	GuruGuru...The...These treasures...Guru...are all,all mine! Mineeee!
你，你是谁？你也想抢我的宝物…？你，你你别想，别想拿！！！嗷哈哈哈哈！	You...Who are you? You want grab away my treasures? You, you don't ever...ever think about it! Graaaaa!
