房间	Quarto
兔皮薄衣衫	Camisa Fina de Pele de Coelho
紫布休闲下裳	Calças Casuais de Tecido Roxo
蓝布薄衣衫	Camisa Fina de Tecido Azul
白布薄下裳	Calças Finas de Tecido Branco
大理石剑	Espada de Mármore
灰石伐木斧	Machado de Madeira de Pedra Cinza
灵木矿镐	Picareta de Madeira Espiritual
木矿镐	Picareta de Madeira
木墙	Parede de Madeira
木门	Porta de Madeira
木床	Cama de Madeira
灵石炉灶	Fogão de Pedra Espiritual
梧桐木桌子	Mesa de Madeira de Parasol
梧桐木墙	Parede de Madeira de Parasol
梧桐木门	Porta de Madeira de Parasol
灵石置物台	Expositor de Pedra Espiritual
母兔子	Coiote Fêmea
公鸡	Galo
雄龟	Cuidador Masculino
雌龟	Cuidadora Fêmea
雄青蛙	Frog Masculino
雌青蛙	Frog Feminino
梁	Liang
菊	Ju
新家园	Nova Terra
采矿	Minerar
野外的水	Água Selvagem
双元	Shuang Yuan
伟	Wei
弘	Hong
新柔	Xinrou
欧阳	Ouyang
寻雪	Xunxue
双	Shuang
元	Yuan
梁菊	Liang Ju
安	An
郑	Zheng
依凝	Yining
萧	Xiao
瑞	Rui
佟	Tong
紫雅	Ziya
扫地	Varrer o Chão
存档写入完成	Jogo salvo
梁菊感到危险	Liang Ju sentiu perigo
药物储量不足	Reservas de medicamentos insuficientes.
食物储量不足	Reservas de comida insuficientes.
梁菊需要开采工具	Liang Ju precisa de uma ferramenta de mineração
双元需要砍伐工具	Shuang Yuan precisa de uma ferramenta para cortar
天火心光诀	Técnica de Luz do Coração do Fogo Celestial
燃魂九极咒	Feitiço de Nove Extremos da Alma Ardente
朱雀金刚	Dragão Vermelho Diamante
造化不坏神雷	Relâmpago Divino da Transformação Inquebrantável
迅影秘法	Técnica Secreta da Sombra Rápida
少量的	Quantidade Pequena
混元决	Técnica da Harmonia do Caos
混元密卷	Volume Secreto da Harmonia do Caos
圆转秘诀	Técnica Secreta do Movimento Circular
黄芽迅击	Técnica Rápida do Broto Amarelo
中量的	Quantidade Média
赤炎迅击秘法	Técnica Secreta do Golpe Rápido das Chamas Vermelhas
黄庭混元宝典	Livro dos Fundamentos da Harmonia do Caos
真丹蓄神剑诀	Técnica da Espada da Alma do Verdadeiro Elixir
神佑典	Manual da Proteção Divina
景氏摄神要诀	Técnica Essencial do Controle Espiritual da Família Jing
紫火神佑典	Manual da Proteção Divina do Fogo Púrpura
大量的	Grande Quantidade
丙火摄神书	Livro do Controle Espiritual do Fogo de Yang
过去庄严琢玉秘传	Transmissão Secreta do Passado de Lapidação de Jade
海量的	Quantidade Massiva
再造形神之术	Técnica de Recriação Espiritual
南海清心神功	Técnica Espiritual da Clareza do Coração do Mar do Sul
