房间	Quarto
农田	Campo
鹿蜀皮休闲下裳	Calças Casuais de Pele de Lushu
角色出生点	Ponto de Nascimento
逻辑点	Ponto Lógico
大理石床	Cama de Mármore
天柱石墙	Parede de Pedra Sagrada
天柱石门	Porta de Pedra Sagrada
木栅栏	Cerca de Madeira
灵石炉灶	Cozinha de Pedra Espiritual
灵石水缸	Reservatório de Água de Pedra Espiritual
玄铁假人桩	Poste de Treinamento de Ferro Escuro
玄铁水井	Poço de Ferro Escuro
玄铁灯笼	Lanterna de Ferro Escuro
木砍柴处	Espaço de Corte de Madeira
灵石磨坊	Moinho de Pedra Espiritual
帝	Imperador
归	Retorno
身躯	Corpo
混元臂·左	Braço de Elemento Misto - Esquerdo
混元臂·右	Braço de Elemento Misto - Direito
天盾腿·左	Perna de Escudo Celestial - Esquerda
天盾腿·右	Perna de Escudo Celestial - Direita
五行拳	Os Cinco Punhos dos Elementos
鹰熊合形	Forma de Combinação Águia e Urso
撼渊腿·左	Perna de Choque Selvagem - Esquerda
撼渊腿·右	Perna de Choque Selvagem - Direita
九岳御天顶	Topo dos Reins Celestiais
无形手·右	Mão Etérea - Direita
焚神掌·左	Palmada Divina de Fogo - Esquerda
玄木盘根腿	Perna de Raiz de Madeira Escura
六御摘雷手·右	Mão da Captura do Trovão do Vazio - Direita
吞灵灭劫圈	Círculo Devorador de Qi
蛮极不灭体	Corpo Indestrutível da Unidade Bárbara
虚化之体	Corpo da Ilusão
洞真之体	Corpo da Percepção
外骨邪甲	Armadura Óssea Profana
真阳玲珑心	Coração Brilhante do Yang Verdadeiro
玄阴琉璃心	Coração de Vidro do Yin Profundo
天龙脊	Coluna Celestial do Dragão
天地洪炉	Fornalha dos Céus e da Terra
蛮极战意	Vontade Bárbara de Batalha
吞尽之口	Boca Devoradora
斥异之体	Corpo Rejeitado
禄	Lu
峰	Feng
昌	Chang
凌珍	Lingzhen
最初者	A Origem
哟？难得有外人前来？稀客稀客!	Oh? Que raro ver um estrangeiro aqui! Bem-vindo!
来来来，让我打一拳先，这个鬼地方，真是闷出鸟了！	Venha, venha, deixa eu te dar um soco primeiro! Este lugar está tão chato que está me deixando louco!
