蜚皮休闲衣衫	Fei Hide Casual Shirt
蜚皮薄下裳	Fei Hide Thin Pants
金丝木弓	Goldwood Bow
灵石五龙玄阳塔	Spirit Stone Draconic Pagoda
火铜巨型香炉	Igneocopper Giant Censer
火铜莲心灯	Igneocopper Lotus Lamp
角色出生点	Born Point
逻辑点	Logic Point
沈	Shen
寂弦	Jixian
身躯	Body 
混元臂·左	Mixed Element Arm - Left
混元臂·右	Mixed Element Arm - Right
天盾腿·左	Heavenly Shield Leg - Left
天盾腿·右	Heavenly Shield Leg - Right
五行拳	The Five Elements Fists
鹰熊合形	Eagle Bear Combine Form
撼渊腿·左	Wild Shock Leg - Left
撼渊腿·右	Wild Shock Leg - Right
九岳御天顶	Heavenly Reins Top
无形手·右	Ethereal Hand - Right
焚神掌·左	Divine Blaze Palm - Left
冻魄掌·右	Frozen Soul Palm - Right
千触邪臂	Granular Arms
玄木盘根腿	Stark Root Legs
六御摘雷手·左	Void Thundercatch Hand - Left
六御摘雷手·右	Void Thundercatch Hand - Right
妖御玄鳞	Demonshield Scale
捉月手	Mooncatcher Hands
逐日腿	Sunchaser Legs
洞真之体	Perception Body
外骨邪甲	Bony Shell
真阳玲珑心	Luster of Yang Heart
玄阴琉璃心	Glaze of Yin Heart
天地洪炉	Heaven and Earth Furnace
九烈神血	Firestruck Blood
蛮神心	Barbarian God Heart
万兽归息	Bestial Breath
超越之心	Transcendent Heart
斥异之体	Rejected Body
行	Xing
屈	Qu
怜菡	Lianhan
慵醉	Yongzui
永不磨灭之誓言	Everlasting Oath
天下珍宝，尽归于王。王之众宝，万古光耀！	All treasures belong to the king. All treasures shines through the world!
狂徒，国库禁地也敢恣意游荡，受死！	Maniac, you dare to wander in forbidden storage? Die!
画地为牢	Draw Cell
防御，闪避，飞剑速度降低	Defence, doge and artifact fly speed are lower.
此地有一尊玄黄宝塔，有着镇压时空的玄妙作用。	There is a Heaven and Earth Pagoda here, which can lower the speed of time.
