房间	Quarto
农田	Campo
灵植影响范围	A planta espiritual afeta seus arredores.
鹿蜀皮薄衣衫	Camisa Fina de Couro de Lushu
鹿蜀皮薄下裳	Calças Finas de Couro de Lushu
寒精长枪	Lança de Essência de Gelo
寒晶角料	Fragmento de Cristal de Gelo
凝光千魂碎	Fragmento de Mil Almas de Luz Condensada
玄铁角料	Fragmento de Ferro Escuro
落樱七杀钉	Agulha das Sete Matanças de Flor de Cerejeira Caída
灵晶弓	Arco de Cristal Espiritual
落影千魂弓	Arco das Mil Almas das Sombras Caídas
书	Escritura
苍莽五色简	Livro das Cinco Cores Colossais
佩戴者可以提高抵御土属性伤害之力。	Aumenta a resistência do portador contra dano de Terra.
土甲符	Talismã da Armadura de Terra
佩戴者可以提高道行。	Aumenta o nível de cultivo do portador.
借天符	Talismã do Empréstimo Celestial
可以轻微提高炼制丹药的产量。	Aumenta ligeiramente a produção de pílulas de alquimia.
万化承丹符	Talismã da Impermanência
鹿蜀皮休闲下裳	Calças Casuais de Couro de Lushu
灵木锤	Mace de Madeira Espiritual
莲藕	Raiz de Lótus
凝光千光藕	Raiz de Lótus das Mil Luzes Condensadas
牛皮	Couro de Búfalo
戊己屠魔罩	Capa de Extermínio Demoníaco Central
可以提高移动速度的符咒。	Talismã usado para aumentar a velocidade de movimento.
轻身符	Talismã da Agilidade
可以略微提高修炼速度。	Talismã usado para melhorar ligeiramente a velocidade de cultivo.
天心符	Talismã do Coração Celestial
佩戴者可以提高法宝回灵倍率。	Aumenta o multiplicador de recuperação de Qi dos Artefatos do portador.
灵剑符	Talismã da Espada Espiritual
角色出生点	Ponto de Nascimento
逻辑点	Ponto Lógico
圣火	Caldeirão de Fogo da Pedra Espiritual
灵石长明兽神灯	Lâmpada Perpétua da Deidade Animal de Pedra Espiritual
火铜墙	Parede de Cobre Ígneo
火铜长明兽神灯	Lâmpada Perpétua da Deidade Animal de Cobre Ígneo
火铜门	Porte de Cobre Ígneo
火铜异首兽型炉	Forno de Forma Animal sem Cabeça de Cobre Ígneo
火铜地母祭灯	Lâmpada Sacrificial de Mãe Terra de Cobre Ígneo
火铜鼎	Caldeirão de Cobre Ígneo
乱界	Reino do Caos
冤孽	Pecados Injustos
巫马	Wuma
裕	Yu
权	Quan
慕儿	Muer
司空	Sikong
时	Shi
储	Chu
晓凡	Xiaofan
谢	Xie
健	Jian
赤霄宫燃灵诀	Técnica de Incêndio Espiritual do Palácio de Chí Xiao
逆浪落花神雷	Trovão Divino das Flores Caídas da Onda Invertida
长生陨星神雷	Trovão Divino da Estrela Caída da Longevidade
太上清心诀	Técnica Suprema da Serenidade do Coração
戊己九极咒	Feitiço dos Nove Extremos de Wuxi
庚金震地诀	Técnica do Trovão de Terra do Metal Geng
御神飞星诀	Técnica do Voo das Estrelas Divinas
你是何人？此处乃圣火宫禁地，速速离去！否则格杀勿论？	Quem é você? Este é o local proibido do Palácio de Fogo Sagrado. Saia imediatamente! Ou será executado!
如此恣意妄为！如此骄纵轻狂！哪怕此界将灭，吾等也将在最后时光捍卫圣火之尊严。	Tamanho desatino! Tanta arrogância! Mesmo que este mundo se acabe, nós defenderemos a dignidade do Fogo Sagrado até o último momento.
