仓库	Armazém
房间	Quarto
野猪皮薄衣衫	Camisa Fina de Pele de Javali
黑布薄下裳	Calças Finas de Tecido Preto
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
黑布休闲下裳	Calças Casuais de Tecido Preto
木墙	Parede de Madeira
木门	Porta de Madeira
木床	Cama de Madeira
木油灯	Lâmpada de Óleo de Madeira
<font color=MYCOLOR>钟心</font>突然觉得右眼跳了跳。	<font color=MYCOLOR>Zhong Xin</font> de repente sentiu um tremor no olho direito.
2天 13:54	2d 13:54
钟	Zhong
心	Xin
惊魂初定	Coração Inicialmente Calmo
思淼	Simiao
公西	Gongxi
莲	Lian
<font color=MYCOLOR>常进</font>在割除<font color=OBJCOLOR>蒲公英</font>时，突然觉得莫名烦躁。	<font color=MYCOLOR>Chang Jin</font> de repente se sentiu irritado enquanto cortava <font color=OBJCOLOR>dente-de-leão</font>.
2天 13:21	2d 13:21
常	Chang
进	Jin
泽	Ze
权	Quan
宛凝	Wanning
食物储量不足	Reservas de comida insuficientes.
药物储量不足	Reservas de medicamentos insuficientes.
存档写入完成	Jogo salvo.
有版本更新	Há uma atualização de versão.
游戏版本更新0.9736	Atualização da versão do jogo 0.9736
钟心：受伤	Zhong Xin: ferido.
药草	Ervas Medicinais
药草正在发挥药效	As ervas estão surtindo efeito.
天岭神视纪要	Notas da Visão Divina da Montanha Celestial
蜀山十二都天	Doze Céus de Mount Shu
阴阳不朽诀	Técnica da Imortalidade do Yin e Yang
冷月不坏诀	Técnica da Lua Fria Inquebrantável
戊土不坏咒	Feitiço da Terra Imortal
金刚密卷	Volume Secreto do Diamante
少量的	Quantidade Pequena
奠基经	Clássico Fundacional
戊己奠基秘册	Manual Secreto de Fundamentos de Wu Ji
中量的	Quantidade Média
坤元奠基密卷	Volume Secreto de Fundamentos da Terra
东华金刚秘册	Manual Secreto do Diamante do Leste
五内金刚宝典	Grande Livro do Diamante Interior
入道奠基密卷	Volume Secreto de Fundamentos da Entrada no Caminho
大量的	Grande Quantidade
长生金刚秘册	Manual Secreto do Diamante da Imortalidade
五内摄神	Controle do Espírito Interior
万里摄神典	Cânone do Controle do Espírito de Mil Milhas
御气神农宝册	Manual do Tesouro de Shen Nong sobre o Controle da Energia
冷月合一书	Livro da União da Lua Fria
坤元神佑要诀	Técnica Essencial de Proteção Espiritual da Terra
海量的	Quantidade Massiva
本源决意要诀	Técnica Essencial de Determinação da Origem
归真沃野要诀	Técnica Essencial da Terra Fertilizada da Verdade
麒麟流光神雷	Relâmpago Divino do Qilin em Fluxo
御灵术	Técnica de Controle Espiritual
求雨术	Técnica de Invocação de Chuva
他化自在大法	Tecnologia de Transformação e Controle Absoluto
摄神御鬼大法	Tecnologia de Controle de Espíritos e Demonios
东海气摄纪要	Notas do Controle de Energia do Mar Oriental
