拜祖师	Venerando os ancestrais
仓库	Armazém
房间	Quarto
牛皮休闲衣衫	Camisa Casual de Couro de Búfalo
靛蓝布休闲下裳	Calças Casuais de Tecido Índigo
兔皮修行下裳	Calças de Cultivador de Pele de Coelho
兔皮薄下裳	Calças Finas de Pele de Coelho
灵木锤	Mace de Madeira Espiritual
熊皮	Pele de Urso
万象赤血障	Barreira de Sangue Carmesim de Todas as Fenômenos
牛皮薄衣衫	Camisa Fina de Couro de Búfalo
蓝布休闲下裳	Calças Casuais de Tecido Azul
火铜锭	Barra de Igneocobre
炽凰天心镇	Estela do Coração Celestial Ardente
书	Escritura
碧光鬼书	Livro Fantasma de Luz Opalescente
靛蓝布休闲衣衫	Camisa Casual de Tecido Índigo
狼皮修行下裳	Calças de Cultivador de Pele de Lobo
寒精锤	Mace de Essência Gelada
佩戴者可以提高御器技能等级。	Aumenta o nível de habilidade de Mestre de Artefatos do usuário.
神剑符	Talismã da Espada Divina
莲藕	Raiz de Lótus
壬水炼心藕	Raiz de Lótus Refinada da Mente da Água
棕石砖	Bloco de Pedra Marrom
麒麟极光圭	Tablet da Aurora do Qilin
虎皮薄衣衫	Camisa Fina de Pele de Tigre
红布薄下裳	Calças Finas de Tecido Vermelho
木锤	Mace de Madeira
黄布休闲衣衫	Camisa Casual de Tecido Amarelo
苍龙甲	Robe Marinagon
癸水极光藕	Raiz de Lótus Aurora Equilibrada da Água
蓝布修行衣衫	Uniforme de Cultivador de Tecido Azul
牛皮修行下裳	Calças de Cultivador de Pele de Búfalo
木环	Chakram de Madeira
垃圾	Lixo
镇岳五色毒	Venenos Prismaticos de Queda da Montanha
金丝灵木	Árvore Espiritual de Seda Dourada
长生七魄木	Ramo das Sete Almas da Longevidade
黑布薄衣衫	Camisa Fina de Tecido Preto
麒麟磨骨碑	Tablet de Moagem de Ossos do Qilin
虎皮厚制衣衫	Camisa Inverno de Pele de Tigre
万里御	Armadura de Marcha
野猪皮修行衣衫	Uniforme de Cultivador de Pele de Javali
可以提高炎热抵抗的符咒。	Talismã usado para aumentar a resistência ao calor.
避暑符	Talismã de Resistência ao Calor
大理石砖	Bloco de Mármore
行疆落樱阙	Pedra da Floresta de Cerejeiras Caídas
香菇	Cogumelo
长生白骨菇	Cogumelo da Longevidade do Esqueleto Branco
琴谱	Pauta Musical
长生三清谱	Pauta de Tríplice Pureza da Longevidade
狼皮薄衣衫	Camisa Fina de Pele de Lobo
火精剑	Espada de Essência de Fogo
天火长青要诀	Instrução Eterna do Fogo Celestial
使头脑清明，提高学习能力。	Usado para clarear a mente e melhorar as habilidades de aprendizado.
文昌符	Talismã da Prosperidade Civil
铁矿石	Minério de Ferro
霹雳神圭	Métal Divino do Raio
棕石	Pedra Marrom
天府流光石	Pedra de Tempo do Abode Celestial Dualjade
熊皮薄衣衫	Camisa Fina de Pele de Urso
戊己降龙御	Camisa de Vanquishing Dragão Central
花布薄衣衫	Camisa Fina de Tecido Floral
寒晶弓	Arco de Cristal Gelado
熊皮修行衣衫	Uniforme de Cultivador de Pele de Urso
花布修行下裳	Calças de Cultivador de Tecido Floral
玄铁锤	Mace de Ferro Escuro
寒晶锭	Barra de Cristal Gelado
惊波磨骨珏	Torre de Moagem de Ossos de Turquesa
三才大日枝	Tribo de Três Talentos Grande Dia
兔皮修行衣衫	Uniforme de Cultivador de Pele de Coelho
牛皮薄下裳	Calças Finas de Pele de Búfalo
佩戴者可以提高抵御水属性伤害之力。	Aumenta a resistência do usuário ao dano de água.
水甲符	Talismã de Armadura de Água
万里落影镇	Estela de Sombras Caídas da Marcha
木角料	Desperdício de Madeira
青龙圣镖	Fragmento Sábio do Azuragon
蓝布薄衣衫	Camisa Fina de Tecido Azul
红布休闲下裳	Calças Casuais de Tecido Vermelho
棉花	Algodão
碧光白骨线	Cordão de Ossos Brancos de Luz Opalescente
虎皮休闲下裳	Calças Casuais de Pele de Tigre
极光甲	Roupão Aurora
黑布薄下裳	Calças Finas de Tecido Preto
棕石长枪	Lança de Pedra Marrom
兔皮	Pele de Coelho
镇岳恶魄障	Barreira de Alma Maléfica de Queda da Montanha
蛇蛋	Ovo de Cobra
坤元万魂珠	Esfera de Todas as Almas da Terra
野猪皮薄下裳	Calças Finas de Pele de Javali
玄机气摄密卷	Rolo Secreto de Absorção de Qi Ingenioso
灰石砖	Bloco de Pedra Cinza
行疆天璇碑	Tábua de Merak de Travessia
白布清凉下裳	Calças de Verão de Tecido Branco
